,0,1,2,3,4,5,6
0,gen_20573.png,0,0.0,1,2,1,0
0,gen_82302.png,0,0.0,0,2,0,0
0,gen_58807.png,37,0.7872,1,3,6,0
0,gen_57678.png,38,0.475,9,7,25,0
0,gen_40056.png,12,0.4286,2,12,1,0
0,gen_30297.png,16,0.1404,21,0,76,0
0,gen_61507.png,20,0.4255,8,9,10,0
0,gen_89579.png,0,0.0,1,9,13,0
0,gen_35328.png,2,0.0513,16,15,6,0
0,gen_95168.png,1,0.0435,1,2,19,0
0,gen_4695.png,1,0.027,11,7,18,0
0,gen_532.png,1,0.0417,0,22,1,0
0,gen_94909.png,13,0.2826,4,0,29,0
0,gen_76440.png,2,0.1053,2,3,12,0
0,gen_71082.png,39,0.75,0,0,8,0
0,gen_90098.png,0,0.0,1,2,6,0
0,gen_60199.png,16,0.1928,24,25,14,0
0,gen_18843.png,12,0.16,6,3,53,0
0,gen_16849.png,29,0.4203,0,0,38,0
0,gen_48885.png,0,0.0,0,1,0,0
0,gen_59291.png,0,0.0,5,4,14,0
0,gen_52269.png,5,0.3571,1,2,5,0
0,gen_75541.png,0,0.0,5,1,7,0
0,gen_97126.png,1,0.0526,2,9,6,1
0,gen_34287.png,4,0.25,0,6,6,0
0,gen_91993.png,7,0.3889,3,6,2,0
0,gen_97546.png,57,0.8382,0,0,9,0
0,gen_87694.png,1,0.0588,3,3,10,0
0,gen_66768.png,3,0.1364,10,4,5,0
0,gen_26565.png,7,0.7,2,0,1,0
0,gen_24095.png,0,0.0,1,4,49,0
0,gen_32691.png,1,0.1667,0,4,1,0
0,gen_50289.png,5,0.0877,13,19,20,0
0,gen_66379.png,8,0.1739,3,4,28,0
0,gen_46518.png,0,0.0,13,18,8,0
0,gen_97297.png,6,0.0938,12,24,20,0
0,gen_53378.png,15,0.4545,0,10,8,0
0,gen_4935.png,1,0.0625,0,9,6,0
0,gen_82662.png,0,0.0,0,1,2,0
0,gen_98707.png,6,0.2727,2,11,3,0
0,gen_97109.png,40,0.5634,21,4,3,1
0,gen_38716.png,35,0.5224,11,4,15,0
0,gen_71475.png,0,0.0,4,6,10,0
0,gen_52689.png,27,0.3462,0,0,51,0
0,gen_77771.png,15,0.625,0,6,2,1
0,gen_42569.png,1,0.0213,11,16,19,0
0,gen_48476.png,0,0.0,0,1,2,0
0,gen_37179.png,12,0.2857,5,11,14,0
0,gen_88173.png,9,0.1475,8,19,22,0
0,gen_47211.png,5,0.119,14,13,7,0
0,gen_93502.png,25,0.7353,0,0,8,0
0,gen_66079.png,1,0.3333,0,0,2,0
0,gen_99130.png,0,0.0,9,11,23,0
0,gen_27753.png,12,0.24,4,4,27,3
0,gen_37094.png,7,0.1167,15,3,35,0
0,gen_44717.png,0,0.0,11,33,4,0
0,gen_25132.png,15,0.25,1,2,41,0
0,gen_18047.png,34,0.5397,10,9,7,0
0,gen_46455.png,2,0.0377,17,13,19,0
0,gen_79394.png,7,0.2917,1,10,5,0
0,gen_54855.png,17,0.2329,22,23,8,0
0,gen_22280.png,0,0.0,6,2,8,0
0,gen_10251.png,0,0.0,3,11,8,0
0,gen_52812.png,0,0.0,1,8,10,0
0,gen_64940.png,9,0.25,4,4,18,0
0,gen_43058.png,14,0.3182,11,16,3,0
0,gen_39539.png,11,0.2115,1,8,32,0
0,gen_27238.png,5,0.1064,5,2,33,2
0,gen_57156.png,27,0.587,2,0,14,0
0,gen_72163.png,5,0.1515,1,6,21,0
0,gen_40348.png,20,0.5128,5,8,6,0
0,gen_33196.png,28,0.3636,6,0,43,0
0,gen_69206.png,1,0.0192,8,29,12,0
0,gen_10110.png,0,0.0,0,0,1,0
0,gen_32791.png,14,0.3111,1,9,20,0
0,gen_63059.png,30,0.5,1,2,26,0
0,gen_94095.png,0,0,0,0,0,0
0,gen_27506.png,0,0,0,0,0,0
0,gen_22261.png,13,0.2407,12,13,12,2
0,gen_9635.png,8,0.1111,22,9,31,0
0,gen_62282.png,4,1.0,0,0,0,0
